nama_kunci,mata_pelajaran,deskripsi,link_gambar
Alam Semesta - Astronomi ruang angkasa dalam,Pengetahuan Umum & Sains,"Pada abad ke-18, Immanuel Kant berspekulasi bahwa nebula mungkin merupakan seluruh galaksi yang terpisah dari Bima Sakti. Pada tahun 1850, Alexander von Humboldt menyebut galaksi-galaksi terpisah itu sebagai Weltinseln, atau ""pulau dunia"", istilah yang kemudian berkembang menjadi ""alam semesta pulau"" (island universes). Pada tahun 1919, ketika Teleskop Hooker selesai dibangun, pandangan umum kala itu menyatakan bahwa alam semesta hanya terdiri atas Galaksi Bima Sakti. Dengan menggunakan teleskop tersebut, Edwin Hubble berhasil mengidentifikasi bintang variabel Cepheid di beberapa nebula spiral, dan pada tahun 1922–1923 ia membuktikan secara meyakinkan bahwa Nebula Andromeda dan Nebula Triangulum, di antara yang lainnya, merupakan galaksi-galaksi utuh di luar galaksi kita sendiri. Penemuan ini menjadi bukti bahwa alam semesta tersusun atas banyak galaksi. Berdasarkan temuan tersebut, Hubble merumuskan konstanta Hubble, yang untuk pertama kalinya memungkinkan perhitungan usia alam semesta serta ukuran alam semesta teramati. Seiring dengan kemajuan pengukuran, nilai-nilai ini menjadi semakin akurat, mulanya hanya sekitar 2 miliar tahun dan 280 juta tahun cahaya, hingga pada tahun 2006, data dari Teleskop Luar Angkasa Hubble memungkinkan estimasi usia dan ukuran alam semesta yang sangat presisi. Era modern kosmologi fisik dimulai pada tahun 1917, ketika Albert Einstein untuk pertama kalinya menerapkan teori relativitas umum dalam memodelkan struktur dan dinamika alam semesta. Penemuan-penemuan besar dari masa ini, beserta pertanyaan-pertanyaan yang masih belum terjawab, dijabarkan dalam bagian-bagian sebelumnya.",https://upload.wikimedia.org/wikipedia/commons/2/2f/Hubble_ultra_deep_field.jpg
Alam Semesta - Bentuk,Pengetahuan Umum & Sains,"Kosmolog sering bekerja dengan irisan ruang-waktu yang bersifat serupa ruang (space-like), yaitu permukaan dengan waktu konstan dalam koordinat comoving. Geometri irisan ruang tersebut ditentukan oleh parameter kerapatan, Omega (Ω), yang didefinisikan sebagai rata-rata kerapatan materi alam semesta dibagi dengan nilai kritisnya. Nilai ini menentukan salah satu dari tiga kemungkinan geometri, tergantung pada apakah Ω sama dengan, kurang dari, atau lebih besar dari 1. Masing-masing disebut sebagai alam semesta datar, terbuka, dan tertutup. Pengamatan, termasuk dari Cosmic Background Explorer (COBE), Wilkinson Microwave Anisotropy Probe (WMAP), dan peta CMB dari wahana antariksa Planck, menunjukkan bahwa alam semesta bersifat tak berhingga dalam luasnya tetapi memiliki usia berhingga, sebagaimana dijelaskan oleh model Friedmann–Lemaître–Robertson–Walker (FLRW). Model FLRW ini mendukung teori inflasi serta model standar kosmologi, yang menggambarkan alam semesta datar, homogen, dan saat ini didominasi oleh materi gelap dan energi gelap.",https://upload.wikimedia.org/wikipedia/commons/2/2f/Hubble_ultra_deep_field.jpg
Alam Semesta - Definisi,Pengetahuan Umum & Sains,"Alam semesta fisik didefinisikan sebagai keseluruhan dari ruang dan waktu (yang secara kolektif disebut ruang-waktu) beserta seluruh isinya. Isi tersebut mencakup seluruh bentuk energi dalam berbagai wujudnya, termasuk radiasi elektromagnetik dan materi, yang karenanya meliputi planet-planet, bulan, bintang, galaksi, dan segala sesuatu yang berada di dalam ruang antargalaksi. Alam semesta juga mencakup hukum fisika yang memengaruhi energi dan materi, seperti hukum kekekalan, mekanika klasik, serta relativitas. Alam semesta kerap didefinisikan sebagai ""keseluruhan eksistensi"", yakni segala sesuatu yang ada, yang pernah ada, dan yang akan ada. Bahkan, sejumlah filsuf dan ilmuwan mendukung pandangan bahwa gagasan serta konsep-konsep abstrak, seperti matematika dan logika, turut termasuk dalam pengertian alam semesta. Kata alam semesta juga kerap digunakan untuk merujuk pada konsep seperti kosmos, dunia, dan alam.",https://upload.wikimedia.org/wikipedia/commons/2/2f/Hubble_ultra_deep_field.jpg
Alam Semesta - Dukungan bagi kehidupan,Pengetahuan Umum & Sains,"Hipotesis alam semesta yang disetel dengan cermat (fine-tuned universe) merupakan gagasan bahwa kondisi yang memungkinkan keberadaan kehidupan yang dapat diamati di alam semesta hanya dapat terjadi apabila sejumlah konstanta fisika dasar universal berada dalam rentang nilai yang sangat sempit. Menurut hipotesis ini, seandainya beberapa konstanta fundamental tersebut sedikit saja berbeda, maka alam semesta kemungkinan besar tidak akan mendukung terbentuknya dan berkembangnya materi, struktur astronomi, keberagaman unsur, ataupun kehidupan sebagaimana yang kita kenal. Apakah hal ini benar adanya, bahkan apakah pertanyaan tersebut secara logis bermakna untuk diajukan, masih menjadi bahan perdebatan yang hangat. Gagasan ini dibahas di kalangan filsuf, ilmuwan, teolog, serta para pendukung kreasionisme.",https://upload.wikimedia.org/wikipedia/commons/2/2f/Hubble_ultra_deep_field.jpg
Alam Semesta - Energi gelap,Pengetahuan Umum & Sains,"Penjelasan mengenai alasan mengapa perluasan alam semesta semakin cepat masih belum diketahui secara pasti. Fenomena ini sering dikaitkan dengan pengaruh gravitasi dari ""energi gelap"", suatu bentuk energi tak dikenal yang diduga meresapi seluruh ruang. Berdasarkan ekuivalensi massa–energi, kerapatan energi gelap (~ 7 × 10−30 g/cm3) jauh lebih kecil dibandingkan dengan kerapatan materi biasa atau materi gelap di dalam galaksi. Namun, pada masa dominasi energi gelap saat ini, energi gelap menjadi komponen utama massa–energi alam semesta karena penyebarannya yang seragam di seluruh ruang. Dua bentuk utama energi gelap yang diajukan adalah konstanta kosmologis, yaitu kepadatan energi yang konstan dan mengisi ruang secara homogen, dan medan skalar seperti kuintessens atau moduli, yaitu besaran dinamis yang kerapatannya dapat berubah seiring waktu dan ruang, tetapi tetap cukup menyebar untuk menyebabkan laju perluasan alam semesta sebagaimana diamati. Kontribusi dari medan skalar yang konstan di ruang biasanya juga dianggap bagian dari konstanta kosmologis. Konstanta kosmologis ini dapat dirumuskan sebagai bentuk dari energi vakum.",https://upload.wikimedia.org/wikipedia/commons/2/2f/Hubble_ultra_deep_field.jpg
Alam Semesta - Etimologi,Pengetahuan Umum & Sains,"Dalam bahasa Indonesia, istilah alam semesta berasal dari gabungan kata alam dan semesta. Kata alam diserap dari bahasa Arab ālam (عالَم) yang berarti ""dunia"", ""jagat raya"" atau ""seluruh makhluk"", sedangkan kata semesta diserap dari bahasa Sansekerta samasta (समस्त) yang berarti ""seluruh"", ""keseluruhan"" atau ""bersama"". Gabungan dari keduanya secara harfiah dapat diartikan sebagai ""keseluruhan dunia"" atau ""seluruh jagat raya"".",https://upload.wikimedia.org/wikipedia/commons/2/2f/Hubble_ultra_deep_field.jpg
Alam Semesta - Hipotesis multisemesta,Pengetahuan Umum & Sains,"Sejumlah teori spekulatif mengusulkan bahwa alam semesta kita hanyalah satu dari sekumpulan himpunan alam semesta yang terpisah satu sama lain, yang secara kolektif disebut multisemesta. Gagasan ini menantang sekaligus memperluas batasan definisi tradisional tentang alam semesta. Max Tegmark mengembangkan suatu skema klasifikasi empat tingkat yang menjelaskan berbagai jenis multisemesta yang pernah diusulkan ilmuwan sebagai jawaban atas sejumlah persoalan mendalam dalam fisika. Salah satu contohnya adalah multisemesta yang dihasilkan dari model inflasi kacau pada masa awal alam semesta. Contoh lain ialah multisemesta yang muncul dari interpretasi banyak dunia dalam mekanika kuantum. Dalam kerangka ini, dunia-dunia paralel terbentuk melalui proses yang mirip dengan superposisi kuantum dan dekohesi, di mana seluruh kemungkinan keadaan dari fungsi gelombang terwujud di dunia yang berbeda-beda. Dengan demikian, dalam interpretasi banyak dunia, multisemesta berkembang sebagai suatu fungsi gelombang universal. Jika Dentuman Besar yang melahirkan multisemesta kita juga menciptakan himpunan multisemesta lain, maka fungsi gelombang dari seluruh himpunan itu akan saling terjerat secara kuantum. Masih menjadi perdebatan panjang apakah konsep ini memungkinkan penurunan probabilitas yang bermakna secara ilmiah, dan terdapat pula berbagai versi dari interpretasi banyak dunia. Topik tentang bagaimana seharusnya mekanika kuantum ditafsirkan sendiri merupakan wilayah yang sarat perbedaan pandangan. Kategori yang paling tidak kontroversial, meskipun tetap diperdebatkan, dalam klasifikasi Tegmark adalah multiverse Tingkat I. Multisemesta pada tingkat ini terdiri dari peristiwa ruang waktu yang sangat jauh tetapi masih termasuk ""alam semesta kita"" sendiri. Tegmark dan beberapa ilmuwan lain berargumen bahwa jika ruang benar-benar tak berhingga, atau cukup besar dan seragam, maka sejarah lengkap volume Hubble Bumi akan berulang secara identik di tempat lain, murni karena kebetulan statistik. Tegmark menghitung bahwa ""kembaran"" terdekat kita berada sejauh 1010115 meter dari sini, jarak yang merupakan fungsi eksponensial ganda jauh lebih besar dari googolplex. Meski demikian, argumen-argumen semacam ini masih bersifat sangat spekulatif. Kita juga dapat membayangkan adanya ruang waktu yang sepenuhnya terputus satu sama lain, masing-masing ada namun tak dapat berinteraksi sedikit pun. Analogi yang mudah divisualisasikan untuk konsep ini adalah sekumpulan gelembung sabun yang terpisah, di mana para pengamat yang hidup pada satu gelembung tidak mungkin, bahkan secara teori, berinteraksi dengan mereka yang berada di gelembung lain. Dalam terminologi yang umum digunakan, setiap ""gelembung sabun"" ruang waktu disebut sebagai sebuah alam semesta, sementara ruang waktu tempat manusia berada disebut alam semesta—sebagaimana kita menyebut satelit alami Bumi sebagai Bulan. Keseluruhan kumpulan ruang waktu yang terpisah ini disebut multisemesta. Dalam pengertian ini, setiap alam semesta tidak memiliki hubungan kausal satu sama lain. Secara teoretis, setiap alam semesta lain yang tak terhubung bisa saja memiliki dimensi dan topologi ruang waktu yang berbeda, bentuk materi dan energi yang berbeda, bahkan hukum fisika dan konstanta fisika yang tidak sama—meskipun kemungkinan-kemungkinan ini sepenuhnya bersifat spekulatif. Beberapa ilmuwan juga menganggap bahwa gelembung-gelembung yang tercipta melalui proses inflasi kacau merupakan alam semesta tersendiri, meskipun dalam model ini semua alam semesta tersebut memiliki asal kausal yang sama.",https://upload.wikimedia.org/wikipedia/commons/2/2f/Hubble_ultra_deep_field.jpg
Alam Semesta - Kelayakhunian,Pengetahuan Umum & Sains,"Frekuensi kemunculan kehidupan di alam semesta telah lama menjadi pokok penyelidikan dalam bidang astronomi dan astrobiologi. Pertanyaan ini dikaji melalui persamaan Drake dan beragam pandangan yang menyertainya, mulai dari pengenalan atas paradoks Fermi, yakni keadaan di mana belum ditemukan tanda-tanda keberadaan kehidupan luar bumi, hingga pada argumen yang mendukung gagasan kosmologi biofisik, yaitu pandangan bahwa kehidupan merupakan bagian yang melekat dalam kosmologi fisik alam semesta.",https://upload.wikimedia.org/wikipedia/commons/2/2f/Hubble_ultra_deep_field.jpg
Alam Semesta - Komposisi,Pengetahuan Umum & Sains,"Alam semesta tersusun hampir sepenuhnya dari energi gelap, materi gelap, dan materi biasa. Komponen lainnya meliputi radiasi elektromagnetik (diperkirakan menyumbang sekitar 0,005% hingga mendekati 0,01% dari total ekuivalensi massa–energi alam semesta) serta antimateri. Proporsi dari semua jenis materi dan energi telah berubah sepanjang sejarah alam semesta. Jumlah total radiasi elektromagnetik yang dihasilkan di alam semesta telah menurun hingga setengahnya selama 2 miliar tahun terakhir. Saat ini, materi biasa—yang mencakup atom, bintang, galaksi, dan kehidupan—hanya menyumbang sekitar 4,9% dari total isi alam semesta. Kerapatan rata-rata jenis materi ini sangat rendah, kira-kira 4,5 × 10−31 gram per sentimeter kubik, yang setara dengan hanya satu proton untuk setiap empat meter kubik ruang. Sifat dari energi gelap dan materi gelap masih belum diketahui. Materi gelap, bentuk misterius dari materi yang belum teridentifikasi, menyumbang sekitar 26,8% dari isi kosmos. Energi gelap, yaitu energi dari ruang hampa yang menyebabkan percepatan perluasan alam semesta, menyumbang sekitar 68,3% sisanya. Materi, materi gelap, dan energi gelap terdistribusi secara homogen di seluruh alam semesta pada skala panjang lebih dari sekitar 300 juta tahun cahaya (ly). Namun, pada skala yang lebih kecil, materi cenderung menggumpal secara hierarkis: banyak atom membentuk bintang, sebagian besar bintang bergabung dalam galaksi, sebagian besar galaksi bergabung menjadi gugus galaksi dan supergugus, lalu membentuk filamen galaksi berskala besar. Alam semesta teramati diperkirakan mengandung sekitar 2 triliun galaksi dan total hingga 1024 bintang, lebih banyak bintang (dan planet mirip Bumi) daripada seluruh butiran pasir di Bumi; tetapi jumlah ini masih jauh lebih sedikit dibanding perkiraan jumlah atom di alam semesta, yaitu sekitar 1082. Jumlah bintang di alam semesta inflasioner (teramati dan tidak teramati) bahkan diperkirakan mencapai 10100. Galaksi pada umumnya memiliki beragam ukuran, mulai dari galaksi katai yang hanya berisi sekitar sepuluh juta (107) bintang, hingga galaksi raksasa yang mengandung sekitar satu triliun (1012) bintang. Di antara struktur-struktur besar ini terdapat wilayah-wilayah kosong yang disebut kekosongan, yang umumnya berdiameter antara 10 hingga 150 Mpc (sekitar 33 juta–490 juta tahun cahaya). Bima Sakti sendiri merupakan bagian dari Grup Lokal galaksi, yang pada gilirannya berada di dalam Supergugus Laniakea. Supergugus ini membentang lebih dari 500 juta tahun cahaya, sedangkan Grup Lokal mencakup wilayah lebih dari 10 juta tahun cahaya. Alam semesta juga memiliki kawasan luas yang hampir sepenuhnya kosong; kekosongan terbesar yang pernah diketahui terbentang sejauh 1,8 miliar tahun cahaya (550 Mpc). Alam semesta teramati bersifat isotropik pada skala yang jauh lebih besar daripada supergugus, yang berarti sifat statistik alam semesta sama ke segala arah bila diamati dari Bumi. Alam semesta dipenuhi oleh radiasi mikrogelombang elektromagnetik yang sangat isotropik dan sesuai dengan spektrum benda hitam pada keseimbangan termal sekitar 2,72548 kelvin. Hipotesis bahwa alam semesta berskala besar bersifat homogen dan isotropik dikenal sebagai prinsip kosmologi. Alam semesta yang homogen dan isotropik tampak sama dari semua titik pandang dan tidak memiliki pusat.",https://upload.wikimedia.org/wikipedia/commons/2/2f/Hubble_ultra_deep_field.jpg
Alam Semesta - Konsep-konsep astronomi,Pengetahuan Umum & Sains,"Catatan tertulis paling awal yang dapat diidentifikasi sebagai cikal bakal astronomi modern berasal dari Mesir Kuno dan Mesopotamia, sekitar tahun 3000 hingga 1200 SM. Para astronomi Babilonia pada abad ke-7 SM memandang dunia sebagai sebuah cakram datar yang dikelilingi oleh lautan. Para filsuf Yunani Kuno kemudian, dengan mengamati gerakan benda-benda langit, berupaya mengembangkan model alam semesta yang lebih berlandaskan bukti empiris. Model koheren pertama diajukan oleh Eudoxus dari Cnidus, seorang murid Plato yang mengikuti gagasan gurunya bahwa gerakan benda-benda langit haruslah melingkar. Untuk menjelaskan kerumitan gerak planet yang diketahui, terutama gerak retrograd, model Eudoxus menggunakan 27 bola langit: empat untuk setiap planet yang tampak oleh mata telanjang, tiga untuk Matahari dan Bulan, serta satu untuk bintang-bintang. Semua bola ini berpusat pada Bumi, yang dianggap tetap diam sementara bola-bola tersebut berputar selamanya. Aristoteles mengembangkan model ini lebih lanjut, menambah jumlah bola menjadi 55 untuk menjelaskan detail tambahan dari gerak planet. Bagi Aristoteles, materi biasa sepenuhnya berada di dalam lingkup bumi, dan tunduk pada hukum yang sangat berbeda dari materi langit. Risalah pasca-Aristoteles De Mundo (dengan penulis dan tanggal yang tidak pasti) menyatakan: ""Lima unsur, tersusun dalam bola-bola pada lima wilayah, yang lebih kecil selalu dikelilingi oleh yang lebih besar, yakni bumi dikelilingi oleh air, air oleh udara, udara oleh api, dan api oleh eter, membentuk keseluruhan alam semesta."" Model ini kemudian disempurnakan oleh Callippus, dan setelah konsep bola konsentris ditinggalkan, model tersebut disesuaikan hampir sempurna dengan pengamatan astronomi oleh Ptolemaeus. Keberhasilan model ini sebagian besar disebabkan oleh fakta matematis bahwa setiap fungsi (seperti posisi planet) dapat diuraikan menjadi sekumpulan fungsi melingkar, yaitu modus Fourier. Cendekiawan Yunani lainnya, seperti filsuf Pythagoreanisme Philolaus, menurut catatan Stobaeus, berpendapat bahwa di pusat alam semesta terdapat ""api pusat"", dan bahwa Bumi, Matahari, Bulan, dan planet berputar mengelilinginya dalam gerakan melingkar seragam. Astronom Yunani Aristarchus dari Samos adalah orang pertama yang diketahui mengemukakan model heliosentris alam semesta. Meskipun teks aslinya telah hilang, sebuah rujukan dalam karya Archimedes berjudul The Sand Reckoner menggambarkan model heliosentris Aristarchus. Archimedes menulis: ""Engkau, Raja Gelon, tentu mengetahui bahwa alam semesta adalah nama yang diberikan oleh kebanyakan astronom untuk bola yang pusatnya bertepatan dengan pusat Bumi, sedangkan jari-jarinya sama dengan garis lurus yang menghubungkan pusat Matahari dan pusat Bumi. Itulah pandangan umum sebagaimana engkau mendengarnya dari para astronom. Namun Aristarchus telah menerbitkan sebuah buku yang memuat sejumlah hipotesis, di mana tampak bahwa alam semesta jauh lebih besar daripada yang baru saja disebutkan. Hipotesisnya adalah bahwa bintang-bintang tetap dan Matahari tidak bergerak; bahwa Bumi berputar mengelilingi Matahari di sepanjang lingkaran dengan Matahari di tengah orbitnya; dan bahwa bola bintang-bintang tetap, yang berpusat sama dengan Matahari, begitu luas sehingga lingkaran yang menjadi jalur orbit Bumi hanya menempati proporsi sekecil jarak antara pusat bola dengan permukaannya."" Aristarchus berpendapat bahwa bintang-bintang terletak pada jarak yang sangat jauh, dan inilah sebabnya mengapa paralaks bintang tidak pernah teramati, yakni bintang-bintang tidak tampak bergeser posisinya satu sama lain ketika Bumi bergerak mengelilingi Matahari. Pada kenyataannya, jarak bintang-bintang memang jauh melampaui perkiraan umum pada zaman kuno, sehingga paralaks bintang hanya dapat terdeteksi dengan instrumen yang sangat presisi. Model geosentris, yang konsisten dengan konsep paralaks planet, pada masa itu dianggap sebagai penjelasan bagi tidak teramatinya paralaks bintang. Satu-satunya astronom lain dari zaman kuno yang diketahui mendukung model heliosentris Aristarchus adalah Seleucus dari Seleukia, seorang astronom Helenistik yang hidup sekitar satu abad setelah Aristarchus. Menurut Plutarch, Seleucus adalah orang pertama yang membuktikan sistem heliosentris melalui penalaran, meskipun argumen yang digunakannya tidak diketahui. Kemungkinan besar, pembuktiannya terkait dengan fenomena pasang surut. Menurut Strabo (1.1.9), Seleucus adalah orang pertama yang menyatakan bahwa pasang surut disebabkan oleh gaya tarik Bulan, dan bahwa tinggi rendahnya pasang bergantung pada posisi Bulan terhadap Matahari. Sebagai alternatif, mungkin ia membuktikan heliosentrisme dengan menentukan konstanta dari model geometris untuk sistem tersebut, serta mengembangkan metode untuk menghitung posisi planet berdasarkan model itu—pendekatan yang kelak menyerupai metode Nicolaus Copernicus pada abad ke-16. Pada Abad Pertengahan, model heliosentris juga diajukan oleh para astronom Persia seperti Albumasar dan Al-Sijzi. Model Aristoteles diterima di Dunia Barat selama kurang lebih dua milenium, hingga Nicolaus Copernicus menghidupkan kembali pandangan Aristarchus bahwa data astronomi dapat dijelaskan dengan lebih masuk akal bila Bumi dianggap berputar pada porosnya dan Matahari ditempatkan di pusat alam semesta. Di pusatnya bersemayam Matahari. Sebab siapakah yang akan menempatkan pelita di kuil yang sangat indah ini di tempat lain atau yang lebih baik daripada posisi di mana ia dapat menerangi segalanya sekaligus? — Nicolaus Copernicus, Bab 10, Buku 1 dari De Revolutionibus Orbium Coelestium (1543) Seperti dicatat oleh Copernicus, gagasan bahwa Bumi berputar sesungguhnya telah sangat tua, setidaknya sejak zaman Philolaus (ca 450 SM), Heraclides Ponticus (ca 350 SM), dan Ecphantus sang Pitagorean. Sekitar satu abad sebelum Copernicus, sarjana Kristen Nicholas dari Cusa juga mengemukakan bahwa Bumi berputar pada porosnya dalam karyanya On Learned Ignorance (1440). Al-Sijzi pun pernah mengusulkan hal yang sama. Bukti empiris mengenai rotasi Bumi pada porosnya, dengan menggunakan fenomena komet, diberikan oleh Tusi (1201–1274) dan Ali Qushji (1403–1474). Pandangan kosmologis ini kemudian diterima oleh Isaac Newton, Christiaan Huygens, dan para ilmuwan sesudahnya. Newton menunjukkan bahwa hukum-hukum gerak dan gravitasi yang sama berlaku baik bagi benda di Bumi maupun bagi benda langit, sehingga menjadikan pembagian Aristoteles antara keduanya usang. Edmund Halley (1720) dan Jean-Philippe de Chéseaux (1744) secara terpisah mencatat bahwa jika ruang semesta diasumsikan tak berhingga dan dipenuhi bintang secara merata, maka langit malam seharusnya secerah Matahari sendiri; hal ini kelak dikenal sebagai Paradoks Olbers pada abad ke-19. Newton menegaskan bahwa ruang tak berhingga yang dipenuhi materi secara seragam akan menimbulkan gaya tak terhingga dan ketidakstabilan yang akan menyebabkan seluruh materi runtuh ke dalam akibat gravitasinya sendiri. Ketidakstabilan ini kemudian dijelaskan secara matematis pada tahun 1902 melalui kriteria ketidakstabilan Jeans. Salah satu solusi yang diajukan terhadap paradoks-paradoks ini adalah alam semesta Charlier, di mana materi tersusun secara hierarkis, sistem benda-benda yang saling mengorbit dan pada gilirannya mengorbit dalam sistem yang lebih besar, ad infinitum, dalam pola fraktal sehingga kerapatan keseluruhannya sangat kecil. Model kosmologis serupa sebenarnya telah diajukan lebih awal, pada tahun 1761, oleh Johann Heinrich Lambert.",https://upload.wikimedia.org/wikipedia/commons/2/2f/Hubble_ultra_deep_field.jpg
