<<<<<<< HEAD
nama_kunci,mata_pelajaran,deskripsi,link_gambar
Bumi - Umum,Pengetahuan Umum & Sains,"148.940.000 km2 daratan (29,2 %) Bumi adalah planet terdekat ketiga dari Matahari yang merupakan planet terpadat dan terbesar kelima dari delapan planet dalam Tata Surya. Bumi juga merupakan planet terbesar dari empat planet kebumian di Tata Surya. Bumi memiliki julukan ""Planet Biru"". Bumi terbentuk sekitar 4,54 miliar tahun yang lalu, dan kehidupan sudah muncul di permukaannya paling tidak sekitar 3,5 miliar tahun yang lalu. Biosfer Bumi kemudian secara perlahan mengubah atmosfer dan kondisi fisik dasar lainnya, yang memungkinkan terjadinya perkembangbiakan organisme serta pembentukan lapisan ozon, yang bersama medan magnet Bumi menghalangi radiasi surya berbahaya dan mengizinkan makhluk hidup mikroskopis untuk berkembang biak dengan aman di daratan. Sifat fisik, sejarah geologi, dan orbit Bumi memungkinkan kehidupan untuk bisa terus bertahan. Litosfer Bumi terbagi menjadi beberapa segmen kaku, atau lempeng tektonik, yang mengalami pergerakan di seluruh permukaan Bumi selama jutaan tahun. Lebih dari 70% permukaan Bumi ditutupi oleh air, dan sisanya terdiri dari benua dan pulau-pulau yang memiliki banyak danau dan sumber air lainnya yang turut berkontribusi terhadap pembentukan hidrosfer. Kutub Bumi sebagian besarnya tertutup es; es padat di Antarktika dan es laut di paket es kutub. Interior Bumi masih tetap aktif, dengan inti dalam terdiri dari besi padat, sedangkan inti luar berupa fluida yang menciptakan medan magnet, dan lapisan tebal yang relatif padat di bagian mantel. Bumi berinteraksi secara gravitasi dengan objek lainnya di luar angkasa, terutama Matahari dan Bulan. Ketika mengelilingi Matahari dalam satu orbit, Bumi berputar pada sumbunya sebanyak 366,26 kali, yang menciptakan 365,26 hari matahari atau satu tahun sideris.[catatan 6] Perputaran Bumi pada sumbunya miring 23,4° dari serenjang bidang orbit, yang menyebabkan perbedaan musim di permukaan Bumi dengan periode satu tahun tropis (365,24 hari matahari). Bulan adalah satu-satunya satelit alami Bumi, yang mulai mengorbit Bumi sekitar 4,53 miliar tahun yang lalu. Interaksi gravitasi antara Bulan dengan Bumi merangsang terjadinya pasang laut, menstabilkan kemiringan sumbu, dan secara bertahap memperlambat rotasi Bumi. Bumi adalah tempat tinggal bagi jutaan makhluk hidup, termasuk manusia. Sumber daya mineral Bumi dan produk-produk biosfer lainnya bersumbangsih terhadap penyediaan sumber daya untuk mendukung populasi manusia global. Wilayah Bumi yang dihuni manusia dikelompokkan menjadi 200 negara berdaulat, yang saling berinteraksi satu sama lain melalui diplomasi, pelancongan, perdagangan, dan aksi militer.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Earth_symbol_%28small%2C_bold%29.svg/40px-Earth_symbol_%28small%2C_bold%29.svg.png
Bumi - Nama dan etimologi,Pengetahuan Umum & Sains,"Dalam bahasa Inggris modern, kata benda earth dikembangkan dari kata bahasa Inggris Pertengahan erthe (dicatat pada 1137), yang berasal dari kata bahasa Inggris Kuno eorthe (sebelum 725), sedangkan kata itu sendiri berasal dari kata Proto-Jermanik *erthō. Earth memiliki kata kerabat pada semua bahasa Jermanik lainnya, termasuk aarde dalam bahasa Belanda, Erde dalam bahasa Jerman, dan jord dalam bahasa Swedia, Denmark, dan Norwegia. Earth adalah perumpamaan untuk dewi paganisme Jermanik (atau Jörð dalam mitologi Norse, ibu dari dewa Thor). Dalam bahasa Indonesia, kata bumi berasal dari bahasa Sanskerta bhumi, yang berarti tanah, dan selalu ditulis dengan huruf kapital (""Bumi""), untuk merujuk pada planet Bumi, sementara ""bumi"" dengan huruf kecil merujuk pada permukaan dunia, atau tanah.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Earth_symbol_%28small%2C_bold%29.svg/40px-Earth_symbol_%28small%2C_bold%29.svg.png
Bumi - Komposisi dan struktur,Pengetahuan Umum & Sains,"Bumi tergolong planet kebumian yang umumnya terdiri dari bebatuan, bukannya raksasa gas seperti Jupiter. Bumi adalah planet terbesar dari empat planet kebumian lainnya menurut ukuran dan massa. Dari keempat planet tersebut, Bumi merupakan planet dengan kepadatan tertinggi, gravitasi permukaan tertinggi, medan magnet terkuat, dan rotasi tercepat, dan diperkirakan juga merupakan satu-satunya planet dengan tektonik lempeng yang aktif.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Earth_symbol_%28small%2C_bold%29.svg/40px-Earth_symbol_%28small%2C_bold%29.svg.png
Bumi - Bentuk,Pengetahuan Umum & Sains,"Bentuk Bumi kira-kira menyerupai sferoid pepat, bola yang bentuknya tertekan pipih di sepanjang sumbu dari kutub ke kutub sehingga terdapat tonjolan di sekitar khatulistiwa. Tonjolan ini muncul akibat rotasi Bumi, yang menyebabkan diameter khatulistiwa 43 km (kilometer) lebih besar dari diameter kutub ke kutub. Karena hal ini, titik terjauh permukaan Bumi dari pusat Bumi adalah gunung api Chimborazo di Ekuador, yang berjarak 6.384 kilometer dari pusat Bumi, atau sekitar 2 kilometer lebih jauh jika dibandingkan dengan Gunung Everest. Diameter rata-rata bulatan Bumi adalah 12.742 km, atau kira-kira setara dengan 40.000 km /π, karena satuan meter pada awalnya dihitung sebagai 1/10.000.000 jarak dari khatulistiwa ke Kutub Utara melewati Paris, Prancis. Topografi Bumi mengalami deviasi dari bentuk sferoid ideal, meskipun dalam skala global deviasi ini tergolong kecil: Bumi memiliki tingkat toleransi sekitar 584, atau 0,17% dari sferoid sempurna, lebih kecil jika dibandingkan dengan tingkat toleransi pada bola biliar (0,22%). Deviasi tertinggi dan terendah pada permukaan Bumi terdapat di Gunung Everest (8.848 m di atas permukaan laut) dan Palung Mariana (10.911 m di bawah permukaan laut). Karena adanya tonjolan khatulistiwa, lokasi di permukaan Bumi yang berada paling jauh dari pusat Bumi adalah puncak Chimborazo di Ekuador dan Huascarán di Peru.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Earth_symbol_%28small%2C_bold%29.svg/40px-Earth_symbol_%28small%2C_bold%29.svg.png
Bumi - Komposisi kimiawi,Pengetahuan Umum & Sains,"Massa Bumi adalah sekitar 5,98×1024 kg. Komposisi Bumi sebagian besarnya terdiri dari besi (32,1%), oksigen (30,1%), silikon (15,1%), magnesium (13,9%), belerang (2,9%), nikel (1,8%), kalsium (1,5%), dan aluminium (1,4%); sisanya terdiri dari unsur-unsur lainnya (1,2%). Akibat segregasi massa, bagian inti Bumi diyakini mengandung besi (88,8%), dan sejumlah kecil nikel (5,8%), belerang (4,5%), dan kurang dari 1% unsur-unsur lainnya. Ahli geokimia F. W. Clarke menghitung lebih dari 47% kerak Bumi mengandung oksigen. Konstituen batuan yang umumnya terdapat pada kerak Bumi hampir semuanya merupakan senyawa oksida; klorin, belerang, dan fluor adalah tiga pengecualian, dan jumlah total kandungan unsur ini dalam batuan biasanya kurang dari 1%. Oksida utama yang terkandung dalam kerak Bumi adalah silika, alumina, besi oksida, kapur, magnesia, kalium, dan soda. Silika pada umumnya berfungsi sebagai asam, yang membentuk silikat, dan mineral paling umum yang terdapat pada batuan beku adalah senyawa ini. Berdasarkan analisisnya terhadap 1.672 jenis batuan di kerak Bumi, Clarke menyimpulkan bahwa 99,22% kerak Bumi terdiri dari 11 oksida (lihat tabel di sebelah kanan).",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Earth_symbol_%28small%2C_bold%29.svg/40px-Earth_symbol_%28small%2C_bold%29.svg.png
Bumi - Struktur dalam,Pengetahuan Umum & Sains,"Interior Bumi, seperti halnya planet kebumian lainnya, dibagi menjadi sejumlah lapisan menurut kandungan fisika atau kimianya (reologi). Namun, tidak seperti planet kebumian lainnya, Bumi memiliki inti luar dan inti dalam yang berbeda. Lapisan luar Bumi secara kimiawi berupa kerak padat silikat yang diselimuti oleh mantel viskose padat. Kerak Bumi dipisahkan dari mantel oleh diskontinuitas Mohorovičić, dengan ketebalan kerak yang bervariasi; ketebalan rata-ratanya adalah 6 km di bawah lautan dan 30-50 km di bawah daratan. Kerak Bumi, serta bagian kaku dan dingin di puncak mantel atas, secara kolektif dikenal dengan litosfer, dan pada lapisan inilah tektonika lempeng terjadi. Di bawah litosfer terdapat astenosfer, lapisan dengan tingkat viskositas yang relatif rendah dan menjadi tempat melekat bagi litosfer. Perubahan penting struktur kristal di dalam mantel terjadi pada kedalaman 410 dan 660 km di bawah permukaan Bumi, yang juga mencakup zona transisi yang memisahkan mantel atas dengan mantel bawah. Di bawah mantel, terdapat fluida inti luar dengan viskositas yang sangat rendah di atas inti dalam. Inti dalam Bumi mengalami perputaran dengan kecepatan sudut yang sedikit lebih tinggi jika dibandingkan dengan bagian planet lainnya, sekitar 0,1-0,5° per tahun.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Earth_symbol_%28small%2C_bold%29.svg/40px-Earth_symbol_%28small%2C_bold%29.svg.png
Bumi - Panas,Pengetahuan Umum & Sains,"Panas dalam Bumi berasal dari perpaduan antara panas endapan dari akresi planet (sekitar 20%) dan panas yang dihasilkan oleh peluruhan radioaktif (80%). Isotop penghasil panas utama Bumi adalah kalium-40, uranium-238, uranium-235, dan torium-232. Di pusat Bumi, suhu bisa mencapai 6.000 °C, dan tekanannya mencapai 360 GPa. Karena sebagian besar panas Bumi dihasilkan oleh peluruhan radioaktif, para ilmuwan percaya bahwa pada awal sejarah Bumi, sebelum isotop dengan usia pendek terkuras habis, produksi panas Bumi yang dihasilkan jauh lebih tinggi jika dibandingkan dengan saat ini. Panas yang dihasilkan pada masa itu diperkirakan dua kali lebih besar daripada saat ini, kira-kira 3 miliar tahun yang lalu, dan hal tersebut akan meningkatkan gradien suhu di dalam Bumi, meningkatkan tingkat konveksi mantel dan tektonik lempeng, serta memungkinkan pembentukan batuan beku seperti komatiites, yang tidak bisa terbentuk pada masa kini. Rata-rata pelepasan panas Bumi adalah 87 mW m−2, dan 4.42 × 1013 W untuk panas global. Sebagian energi panas di dalam inti Bumi diangkut menuju kerak oleh bulu mantel; bentuk konveksi yang terdiri dari batuan bersuhu tinggi yang mengalir ke atas. Bulu mantel ini mampu menghasilkan bintik panas dan basal banjir. Panas Bumi yang selebihnya dilepaskan melalui lempeng tektonik oleh mantel yang terhubung dengan punggung tengah samudra. Pelepasan panas terakhir dilakukan melalui konduksi litosfer, yang umumnya terjadi di samudra karena kerak di sana jauh lebih tipis jika dibandingkan dengan kerak benua.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Earth_symbol_%28small%2C_bold%29.svg/40px-Earth_symbol_%28small%2C_bold%29.svg.png
Bumi - Lempeng tektonik,Pengetahuan Umum & Sains,"Lapisan luar Bumi yang berbentuk lapisan kaku, disebut dengan litosfer, terpecah menjadi potongan-potongan yang disebut dengan lempeng tektonik. Lempeng-lempeng ini merupakan segmen kaku yang saling berhubungan dan bergerak pada salah satu dari tiga jenis batas lempeng. Ketiga batas lempeng tersebut adalah batas konvergen, tempat dua lempeng bertumbukan; batas divergen, tempat dua lempeng saling menjauh; dan batas peralihan, tempat dua lempeng saling bersilangan secara lateral. Gempa bumi, aktivitas gunung berapi, pembentukan gunung, dan pembentukan palung laut terjadi di sepanjang batas lempeng ini. Lempeng tektonik berada di atas astenosfer, lapisan mantel yang bentuknya padat, tetapi tidak begitu kental yang bisa mengalir dan bergerak bersama lempeng, dan pergerakan ini disertai dengan pola konveksi dalam mantel Bumi. Karena lempeng tektonik berpindah di seluruh Bumi, lantai samudra mengalami penunjaman di bawah tepi utama lempeng pada batas konvergen. Pada saat yang bersamaan, material mantel pada batas divergen membentuk punggung tengah samudra. Perpaduan kedua proses ini secara berkelanjutan terus mendaur ulang kerak samudra kembali ke dalam mantel. Karena proses daur ulang ini, sebagian besar lantai samudra berusia kurang dari 100 Ma. Kerak samudra tertua berlokasi di Pasifik Barat, yang usianya diperkirakan 200 Ma. Sebagai perbandingan, kerak benua tertua berusia 4030 Ma. Tujuh lempeng utama di Bumi adalah Lempeng Pasifik, Amerika Utara, Eurasia, Afrika, Antarktika, Lempeng Indo-Australia, dan Amerika Selatan. Lempeng terkemuka lainnya adalah Lempeng Arab, Lempeng Karibia, Lempeng Nazca di pantai barat Amerika Selatan, dan Lempeng Scotia di Samudra Atlantik selatan. Lempeng Australia menyatu dengan Lempeng India kira-kira 50 sampai 55 juta tahun yang lalu. Lempeng dengan pergerakan tercepat adalah lempeng samudra; Lempeng Cocos bergerak dengan laju kecepatan 75 mm/tahun, dan Lempeng Pasifik bergerak 52–69 mm/tahun. Sedangkan lempeng dengan pergerakan terlambat adalah Lempeng Eurasia, dengan laju pergerakan sekitar 21 mm/tahun.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Earth_symbol_%28small%2C_bold%29.svg/40px-Earth_symbol_%28small%2C_bold%29.svg.png
Bumi - Permukaan,Pengetahuan Umum & Sains,"Permukaan padat Bumi menurut persentase dari luas total permukaan Bumi Permukaan Bumi bervariasi dari tempat ke tempat. Sekitar 70,8% permukaan Bumi ditutupi oleh air, dan terdapat banyak landas benua di bawah permukaan laut. Luas permukaan Bumi yang ditutupi oleh air setara dengan 361,132 million km2 (139,43 juta sq mi). Permukaan Bumi yang terendam memiliki bentang pegunungan, termasuk rangkaian punggung tengah samudra dan gunung api bawah laut, bentang lainnya adalah palung laut, lembah bawah laut, dataran tinggi samudra, dan dataran abisal. Sisanya, 29,2% (148,94 million km2 atau 57,51 juta sq mi) permukaan Bumi dilingkupi oleh daratan, yang terdiri dari pegunungan, padang gurun, dataran tinggi, pesisir, dan geomorfologi lainnya. Permukaan Bumi mengalami pembentukan kembali pada periode waktu geologi karena aktivitas tektonik dan erosi. Permukaan Bumi yang terbentuk atau mengalami deformasi akibat tektonika lempeng merupakan permukaan yang mengalami pelapukan oleh curah hujan, siklus termal, dan pengaruh kimia. Glasiasi, erosi pantai, pembentukan terumbu karang, dan tubrukan meteorit besar merupakan beberapa peristiwa yang memicu pembentukan kembali lanskap permukaan Bumi. Kerak benua terdiri dari material dengan kepadatan rendah seperti batuan beku granit dan andesit. Batuan dengan persentase kecil adalah basal, batuan vulkanik padat yang merupakan konstituen utama lantai samudra. Batuan sedimen terbentuk dari akumulasi sedimen yang terpadatkan. Hampir 75% permukaan benua ditutupi oleh batuan sedimen, meskipun batuan itu sendiri hanya membentuk 5% bagian kerak Bumi. Batuan ketiga yang paling umum terdapat di permukaan Bumi adalah batuan metamorf, yang terbentuk dari transformasi batuan yang sudah ada akibat tekanan tinggi, suhu tinggi, atau keduanya. Mineral silikat yang ketersediaannya paling melimpah di permukaan Bumi adalah kuarsa, feldspar, amfibol, mika, piroksen, dan olivin. Sedangkan mineral karbonat paling umum adalah kalsit (ditemukan pada batu kapur dan dolomit). Pedosfer adalah lapisan terluar Bumi yang menjadi tempat terjadinya proses pembentukan tanah. Lapisan ini terletak pada antarmuka litosfer, atmosfer, hidrosfer, dan biosfer. Total permukaan tanah saat ini adalah 13,31% dari luas total permukaan Bumi, dan dari jumlah tersebut, hanya 4,71% yang ditanami secara permanen. Hampir 40% permukaan tanah dimanfaatkan sebagai lahan pertanian dan padang rumput, dengan rincian 1,3×107 km2 lahan pertanian dan 3,4×107 km2 padang rumput. Ketinggian permukaan tanah Bumi bervariasi. Titik terendah berada pada ketinggian −418 m di Laut Mati, sedangkan titik tertinggi adalah 8.848 m di puncak Gunung Everest. Ketinggian rata-rata permukaan tanah dihitung dari permukaan laut adalah 840 m. Secara logis, Bumi dibagi menjadi Belahan Utara dan Selatan yang berpusat di masing-masing kutub. Namun, Bumi secara tidak resmi juga dibagi menjadi Belahan Bumi Barat dan Timur. Permukaan Bumi secara tradisional dibagi menjadi tujuh benua dan berbagai laut. Setelah manusia menghuni dan mengelola Bumi, hampir semua permukaan dibagi menjadi negara-negara. Hingga tahun 2013, terdapat 196 negara berdaulat dengan jumlah penduduk sekitar 7 miliar yang menghuni permukaan Bumi.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Earth_symbol_%28small%2C_bold%29.svg/40px-Earth_symbol_%28small%2C_bold%29.svg.png
Bumi - Hidrosfer,Pengetahuan Umum & Sains,"Ketersediaan air yang begitu banyak di permukaan Bumi merupakan hal unik yang membedakan ""Planet Biru"" dengan planet lainnya di Tata Surya. Hidrosfer Bumi pada umumnya terdiri dari lautan, tetapi secara teknis juga mencakup semua perairan yang terdapat di permukaan Bumi, termasuk danau, sungai, laut pedalaman, dan air bawah tanah di kedalaman 2.000 m. Perairan terdalam dari permukaan Bumi adalah Challenger Deep di Palung Mariana, Samudra Pasifik, dengan kedalaman 10.911,4 m di bawah permukaan laut.[catatan 10] Massa lautan kira-kira 1,35×1018 metrik ton, atau sekitar 1/4400 dari massa total Bumi. Lautan mencakup area seluas 3,618×108 km2, dengan kedalaman rata-rata 3682 m, dan volume air sekitar 1,332×109 km3. Jika daratan di permukaan Bumi tersebar merata, maka ketinggian air akan naik lebih dari 2,7 km.[catatan 11] Sekitar 97,5% perairan Bumi adalah air asin, sedangkan 2,5% sisanya adalah air tawar. Sekitar 68,7% air tawar yang terdapat di permukaan Bumi pada saat ini adalah es, sedangkan selebihnya membentuk danau, sungai, mata air, dan sebagainya. Tingkat keasinan rata-rata lautan di Bumi adalah 35 gram garam per kilogram air laut (3,5% garam). Sebagian besar garam ini dihasilkan oleh aktivitas vulkanis atau hasil ekstraksi batuan beku. Lautan juga menjadi reservoir bagi gas atmosfer terlarut, yang keberadaannya sangat penting bagi kelangsungan hidup sebagian besar organisme air. Air laut memiliki pengaruh besar terhadap iklim dunia; lautan berfungsi sebagai reservoir panas utama. Perubahan suhu di lautan juga bisa menyebabkan perubahan cuaca di berbagai belahan dunia, misalnya El Niño–Osilasi Selatan.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Earth_symbol_%28small%2C_bold%29.svg/40px-Earth_symbol_%28small%2C_bold%29.svg.png
